,,,,,,,,,,,,
,,,,,,,,,,,,
lfd. Nr.,"Kasten, Stk",Authentitz,Format,Absender,Empfänger,Datum,Abs.- Ort,GS und Herzfeld,GB,Bemerkungen,,
764,"[G028,03",O,DK,Standesamt Kassel,"Rosenzweig, Gg u. Ad.betr",1886-03-31,Kassel,,,Eheschluß Georg u. Adele R.; Auszug aus dem Reg. erteilt 27. 01. 1930,,
765,"[G028,04",Abs.hdf?,B,"Baeck, Leo","Rosenzweig, Edith",1945-08-31,London,,,"""Copie""; U.: Dr. L. Baeck, zu Begg mit Ediths Mutter in Theresienstadt. Adr: London",,
766,"[G029,01",K,S,"Rosenzweig, Franz",,1923-01-00,Frankfurt,,,"Lehrhausprogramm 4. Lehrjahr, 2.Lehrgang = 8.Jan bis 8. März [1923]",,
"767,01","[G029,02",O,S,,,1979-00-00,Freiburg,Drucksache,,"""Freiburger Rundbrief"" XXXI, zum 50. Todestag FR; div. Beiträge; auch zu Edith!",,
"767,02",[G030,K,B,"Staatl. FG, Dr. Kirchhoff","Borries, A. von",1952-10-15,Kassel,,,"negative Antw. auf Anregung, FG in F.-Rosenzweig-Gymn umzubenennen.",,
768,[R001,O+K,S,"Ehrenberg, Hans",,,"Ohne Dat., Heidelberg",,,"Ankündigung: ""Vorlesungen über philosophische Theologie."" - Handzettel",,
769,[R002,Oms P+K,W,"Gundolf, Friedrich",,1910-00-00,,,,"Titel:""Formen der Lüge""; ms., gez. F. Gundolf; hdf. 1910,""Blätter für die Kunst""",,
770,[R003,O+K,B,"Ehrenberg, Hans","Ehrenberg, Rudolf",1910-11-19,"Dat.unleserlich, hdf 1910",,,Ort: HD. Geburtstagsgruß; Frage nach Franz u.a.; Zusatz von Philipp E.,,
771,[R004,O+K,B,"Ehrenberg,  Hans","Ehrenberg,  Rudolf",1910-11-25,,,,über Rudis (Rudof Ehrenber g) dichterisches Schaffen; mangelnder Kontakt,,
772,[R005,O+K,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1913-12-27,"Dat.hdf, Berlin",,,"zu einem Buch (Autor?Cohen?) über Hegel; zu Rel. und Phil.; s. GS I,1 Nr. 205",,
"773,01",[R006,O+K,Couvert,"Rosenzweig, Franz","Ehrenberg, Rudolf",1914-02-08,Berlin,,,"Umschlag für [R7; auf Umschlag hd. Rudolf Ehrenberg: ""Über meine Verlobtheit""",,
"773,02",[R007,O+K,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1914-02-08,Berlin,"I,1 Nr.205 ...",,Dat a.E.; zur (relig) Rolle der Frau in der Ehe; zu Seminar bei Cohen.,,
774,[R008,O+K,B,"Ehrenberg, Hans u.Else","Ehrenberg, Rudolf u.Hans",1914-03-05,Heidelberg,,,"PostStp 6.3.14; Adr: Paris Hotel Wagram; hdf auf Couvert: ""in Flitterwochen""",,
775,[R009,O+K,B,"Ehrenberg, Rudolf","Rosenzweig,  Franz",1918-12-26,,,,"hd: Rudolf Ehrenberg, s.[D11 ; er unterschreibt aber mit ""Franz""; s. auch Inhalt",,
776,[R010,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-06-06,Berlin,,,Dat. a.E.; zu Fritz  Kern; zu Eugens christlich (katholisch-) sein,,
777,[R011,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-08-26,Heidelberg,,,"Antwort auf [F57,6 = GS I,2 Nr. 605 ...; Dat. geht über auf 27. 08.;zu d Freunden",,
778,[R012,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-08-28,Heidelberg,,,Fortsetzung [R11: dem gestrigen hinzufügen; weiterreden in Leipzig,,
779,[R013,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-08-28,Heidelberg,,,zur Vertiefung der Freundschaften,,
780,[R014,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-08-28,,,,das Verhältnis der Freunde zueinander;,,
781,[R015,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-08-29,o.O,,,"zum Verhältnis der Freunde; zu I.Kor 15,28/29: warum Taufe über den Gräbern?",,
782,[R016,O+K,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1919-08-30,o.O,,,zur Gestaltung der Freundschaften,,
783,[R017,O+K,B,"Ehrenberg, Rudolf","Rosenzweig, Franz",1919-08-30,Frankfurt,,,Helenes Ort im Freundeskreis - gegenseitige Wertschätzung,,
,[R019,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-09-01,o.O,,,"Antwort auf R18 b.; nochmal zu I.Kor. 15, 28/29 - Taufe über den Gräbern",,
786,[R020,O+K,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1919-09-02,o.O,,,"zu Dat: ""Das war einmal ein Gedenktag"" - welcher?",,
787,[R021,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-09-13,Göttingen,,,"gemeinsamer Aufenthalt in Kassel;  zu Adele, zu Pfr. H. Schafft u.a.",,
788,"[R021,01",Rdnr. fehlt,,N. N.,N.N.,0000-00-00,,,,Zählfehler in Kurzliste; KastenNr. hier nur Platzhalter,,
789,[R022,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-10-15,Göttingen,,,"Rudi hat die Schutzengel geschrieben [G8; s. [F 54, 2 u 3;",,
790,[R023,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-11-06,Kassel,,,zur Kommunikation / Korresponenz unter den Freunden,,
791,[R024,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-11-10,G.öttingen,,,"Schrift: Sütterlin; von einem Werk, das Rudi an Adele geschickt hat: ""Judas""?",,
792,[R025,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-11-10,Frankfurt,,,zum Umgang in einer Freundschaft miteinander,,
793,[R026,O+K,PK,"Rosenzweig, Franz","Ehrenberg, Rudolf",1919-11-11,Kassel,,,"zur Edition des ""Judas""; Adele hat ihn in KS vorgelesen (S. GB S. 472 (473))",,
794,[R027,O+K,2 Be,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-11-12,Kassel,,,"Brief a) Antwort auf [R24,",,
795,[R028,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-11-12,G.öttingen,,,zur Kommunikation unter den Freunden,,
796,[R029,O+K,B,"Ehrenberg, Rudolf","Rosenzweig, Franz",1919-11-13,Göttingen,,,"Bleistift; alle treffen sich (wo?). Rudi hat die ""Schutzengel"" gebunden",,
797,[R030,O+K,B,"Rosenzweig, Franz","Ehrenberg,  Rudolf",1919-11-13,Kassel,,,"""Du darfst an der Kraft zweifeln, aber nie  an der Liebe""",,
798,[R031,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-11-13,Göttingen,,,Antwort auf [R27; Rudi lernt Geduld in der Freundschaft,,
799,[R032,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-11-14,Kassel,,,"grünes Leder zum Einband für die"" Schutzengel""; zum Verlag für den Stern.",,
800,[R033,O+K,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1919-11-15,Kassel; hdf. Cassel,,,"Gritli will am 23. (11. ) nach Kassel kommen, wer wen wie treffen kann",,
801,[R034,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-11-15,Göttingen,,,Rudi zum einem Besuch von Gritli in Göttingen; Franz möchte bitte auch kommen.,,
802,[R035,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-11-16,Kassel,,,"zum möglichen Treffen, wer-wen-wann;",,
803,[R036,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-12-01,Kassel,,,zu Gritlis Besuch in GÖ; Bezugnahme auf Text der RückS: Korr.Fahne vom Hegel,,
804,[R037,K +Vergr,B,"Ehrenberg,  Rudolf","Ehrenberg, Victor sen.",1919-12-23,Göttingen,,,"Anrede: ""Vater""; zum Verh. Juden-Kirche. Rudis 50%  ""Judenstolz""",,
805,[R038,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-12-21,Kassel,,,Dat undtl: 26. 12.1919? Franz bittet um Ruhe f Vortrag; RückS: Hegel Korr.Fahne,,
806,[R039,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-01-16,Göttingen,,,zu Hans und Else; FR jetzt verlobt mit Edith; Werk (?) gebunden; wem geben?,,
807,[R040,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1920-01-19,o.O.,,,Kopierstift; schlechte Schrift; zu Veröffentl.gen von beiden; zum Freundeskreis,,
808,[R041,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-01-24,Göttingen,,,"Rudi zu seiner Ehe; Gruß an Edith,",,
809,[R042,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1920-01-27,,,,Antwort auf [R41; zur Freundschaft,,
810,[R043,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-01-28,Göttingen,,,Antw auf [R42; weiter zur Gestaltung der Freundschaft,,
811,[R044,O+K,B,"Rosenzweig, Franz","Ehrenberg,  Rudolf",1920-01-29,o.O.,,,Dat hdf 29./30.1.20. Antwort auf [R43; Franz sorgt sich um Rudis Lebendigkeit,,
812,[R045,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-01-31,Göttingen,,,"Antwort auf [R44; Rechtfertigung; neuer Text: ""Die Schwester""",,
813,[R046,O+K,B,"Rosenzweig, Franz","Ehrenberg,  Rudolf",1920-02-06,Frankfurt,,,"Dat, Ort hdf; zu Gritlis Macht ü Franz; zur ""Schwester""",,
814,[R047,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-02-07,Göttingen,,,"zu Verhältnis der Freunde;zu den Dat 21.8.1919 u. 21.1.1920; zu ""Schutzenngel""",,
815,[R048,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-02-23,Göttingen,,,"zum Feinstofflichen in der Beziehung aller,-zu möglichem Versagen",,
816,[R049,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-04-29,Göttingen,,,zur Entwicklung der Beziehungen; zu Greda und Werner Picht,,
817,[R050,O+K,B,"Ehrenberg, Helene","Rosenzweig,  Franz",1920-07-15,Leipzig,,,"Absd.:Frau von Rudi, arg: Schrift [R56; Rudis ""Predigten""- Buch ist erschienen",,
818,[R051,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-07-19,G öttingen,,,"zum guten Echo auf ""Predigt""Buch; zu Wandlung der Gefühle in der Freundschaft",,
819,[R052,O+K,B,"Rosenzweig, Franz","Ehrenberg,  Rudolf",1920-07-00,Kassel,,,"zu d Themen in  [R51 u. 53; zu ""Predigten"", an denen alle ""mitgeschrieben"" haben",,
820,[R053,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-07-20,Göttingen,,,"inc. ""warum schreibst du nicht ein Wort dazu? Siehe [R52 u. 51. Briefe gekreuzt.",,
821,[R054,O+K,PK,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-07-22,Göttingen,,,"Einladg nach Holland wg. ""Predigten"" angenommen; Versuche zur ""Krebsidee""",,
822,[R055,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-08-23,Heidelberg,,,Kopierstift; zur Ehe von Hans u Else Ehrenberg; wie Hans zu  Gritli steht?,,
823,[R056,O+K,B,"Ehrenberg, Helene","Rosenzweig, Franz",1920-08-23,Heidelberg,,,Absd. Frau von Rudi; zu Hans und Else; im Ggsatz zu Franz und Edith,,
824,[R057,O+K,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf u.H.",1920-08-24,,,,"zur Ehe als glücklich u./o. gut; Franz will eine gute Ehe, keine glückliche!",,
825,[R058,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-09-03,Albhotel Traifelberg,,,Antwort auf [R57; zur Beziehung der Freunde / Ehepartner,,
826,[R059,O+K,B,"Rosenzweig, Franz","Ehrenberg,  Rudolf",1920-09-21,Frankfurt,,,Dat hdf; Ort PostStp; zum Verhältnis der Freunde; Rücks. Hegel-ms,,
827,[R060,O+K,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1920-10-00,,,,"ohne Dat; Absd/Empfg Schrift: Franz; Text paßt zu [R61,  betr. ""Predigten""",,
828,[R061,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-10-06,Göttingen,,,"zur Rezeption der ""Predigten""; Klage: Franz schreibt nicht",,
829,[R062,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-10-09,Göttingen,,,"""Ja"" zu Kritik von Franz (betr. Predigten?); zu Gritlis Krankheit; zur Anthropsosphie",,
830,[R063,O+K,PK,"Ehrenberg,  Rudolf","Rosenzweig, Franz",1920-10-13,Göttingen,,,"zu Rudis Theaterstück; Titel ""Spiel des Lebens mit dem Tode""",,
831,[R064,O+K,PK,"Ehrenberg, Rudolf","Rosenzweig, Franz",1920-10-11,Göttingen,,,"Diskussion des Titels [R63 - ""Spiel des Todes mit dem Leben""-Vorschlag Eugen",,
832,[R065,O+K,B,"Ehrenberg, Rudolf","Rosenzweig, Franz",1920-11-22,Göttingen,,,zum Lebendigsein im Dichten; Entwicklg auch im Alter; es fehlt Resonanz von FR,,
833,[R066,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig, Franz",1920-11-23,Göttingen,,,Dat hdf; PostStp 24.11.20; Empfg:Adresse; zum Austausch von Werken.,,
834,[R067,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-11-27,Göttingen,,,"zu Verh von Juden, Christen und Ketzern; im Gespr. mit Vater Victor E. (vgl [R37)",,
835,[R068,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-11-27,Göttingen,,,"zum Verständnis von ""Spiel des Lebens mit dem Tod""; wünscht sich Kontakt",,
[R069,O+K,B,"Ehrenberg,  Hans","Ehrenberg,  Rudolf",1920-11-05,o.O,,,"Couvertkopie paßt nur zu [R73,74; zum Verhältn. Hans-Rudi-""wie leibliche Brüder""",,,
,"[R070,a",O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-12-06,Göttingen,,,"schickt Brf [R69 weiter; wir sind nicht ""fertig""; zur ""Schwester""; zum ""Beethoven""",,
838,"[R070,b",O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-12-00,Göttingen,,,"Dat: ""Sonntagabend"" hdf; wohl nach 6. 12. 20 [R70,a; zu Thiersch; zur Liebe",,
839,[R071,O+K,B,"Rosenstock-H., Eugen","Ehrenberg, Rudolf",1920-12-10,Stuttgart U.Türkheim,,,"zum Verhälnis aller; zur ""Schwester"";zu Gritli; zum Hansbrief [R69; zu e. Jahrbch",,
840,[R072,O+K,PK,"Born,  Hedi","Rosenzweig, Franz",1920-12-13,Frankfurt,,,"Hedi Born, Schwester von Rudi, nimmt Kontakt zu Franz u. Edith in Ffm auf.",,
841,[R073,O+K,B,"Rosenstock-H.,  Eugen","Ehrenberg,  Rudolf",1920-12-15,Stuttgart,,,"zu e Jahrbuch, in das auch ""Schwester"" und ""Spiel ..."" hinein soll; zu Weismantel",,
842,[R074,O,Couvert,"Rosenstock-H.,Eugen","Ehrenberg, Rudolf",1920-12-15,Stuttgart,,,an Göttingen 16. 12. 1920; gehört zu Brief [R73; Absd-Verm hdf auf RückS abw (?),,
843,[R075,O+K,B,"Weizsäcker, Viktor","Ehrenberg,  Rudolf",1920-12-18,Heidelberg,,,v.Weizs. zu seinen Anfängen in Heidelberger Neurologie; zur Anthroposophie,,
844,[R076,O+K,B,"Rosenstock-H., Eugen","Ehrenberg,  Rudolf",1920-12-29,Freiburg,,,zu Gritlis Krankheit; zur Wandlung ihrer  Liebe,,
845,[R077,O+K,Couvert,"Rosenstock-H., Eugen","Ehrenberg, Rudolf",1920-12-31,Säckingen,,,Dat / Ort PostStp;,,
846,[R078,O+K,B,"Rosenstock-H., Eugen","Ehrenberg,  Rudolf",1921-01-01,Säckingen,,,Ort PostStp.; zu Gritlis Krankheit; Medizin und Psychologie;,,
847,[R079,fehlt,,,,,,,,nicht im Ordner,,
848,[R080,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-01-09,Göttingen,,,"zu Gespräch m Thiersch zum [chr.] Glauben, zu Franz' ""Judewerden"" seit 1913",,
849,[R081,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-01-29,Göttingen,,,"zu jew. Schlüsselerlebnissen; hd Rudi:""lies erst den andern Brief"", näml [R82",,
850,[R082,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-02-16,Göttingen,,,Vor [R81 zu lesen; Rudi gibt Sorge der Freunde um Franz u. Gritli weiter,,
851,[R083,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-02-20,Göttingen,,,inc:so leichten Kaufs kommst du mir doch nicht los: keine Antwort auf [R81-83.,,
852,[R084,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1921-02-27,,,,"Dat hdf, lange Antwort auf [R81/82",,
853,[R085,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-02-28,Göttingen,,,kritische Reflexion über Gefüge der Freundschaft; vor 7.Hochzeitstag,,
854,[R086,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1921-03-04,Frankfurt,,,"Dat/Ort hdf a. Couvert;passt das zu Brief? -""kaum mögl, dass wir uns...verstehen""",,
855,[R087,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-03-05,Göttingen,,,Wir sollten mehr Güte haben. Auch ich warte - Warten als Glaubenshaltg FR/ Rud,,
856,[R088,O+K,B,"Weizsäcker v., Viktor","Ehrenberg,  Rudolf",1921-03-06,Heidelberg,,,"Warum v. Weizsäcker (med. Prof. in HD) nicht katholisch wird, sondern ev. bleibt",,
857,[R089,Abs.ms+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1921-03-10,,,,Versöhnungsbrief; Grund für Abs.ms siehe [R90.,,
858,[R090,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-03-12,Kassel,,,Ich habe Deinen Brief ([R89) in den Stern vorne eingeklebt.,,
859,[R091,O+K,Couvert,"Weizsäcker v., Viktor","Ehrenberg, Rudolf",1921-03-14,Heidelberg,nur Couvert!,,"PostStp 14.3.21 Heidelberg; Adresse: Prof.Dr. Ehrenberg,Göttingen, Schrift v. W.",,
860,[R092,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-03-26,Göttingen,,,"langer Brief zum Stern-""Ins Leben entlassen"".",,
861,[R093,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-03-30,G.öttingen,,,zu FRs Urteil über Rudis Vortrag zur Anthroposophie-gefällt aller Welt nisi Catoni,,
862,[R094,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-04-07,Göttingen,,,z. Verhältnis der Freunde; befürchtet Antisem. bei Dt. Stud.schaft;Vortrag?,,
863,[R095,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-07-19,Göttingen,"Antw. auf [F58,4",,z. Rudis Forschungsggstd; hofft auf Institut und Mitarbeiter; Versuche gelungen,,
864,[R096,O+K,B,"Ehrenberg, Rudolf","Rosenzweig, Franz",1921-07-22,Göttingen,,,Kannst Du nicht kommen? - Helene im Krankenhaus,,
865,[R097,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-12-00,Cassel-Göttingen,,,Dat. geschl. aus Brief; s. auch [R93: Adele war im März 1921 gestürzt.,,
866,[R098,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-02-23,Göttingen,"Antw. FR in [F58,5",,Rudi hat von FRs Krankht erfahren; Besuch?; sonst hochfachliches zu s. Forschg,,
867,[R099,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-04-03,Berlin,,,Dat Monat verdtl; Rudi möchte Franz sehen; zu seinem Biologiebuch (Todeslehre),,
868,[R100,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-05-07,Göttingen,"Antw. FR in [F59,1",,R.E. bietet seine Forschungsergebnisse zur Therapie an; zu Eugens Finanzen,,
869,[R101,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-05-15,Göttingen,,,zur wiss. Versprachlichung der Versuche; mediz. Wortspiele; Hilfe f Eugen?,,
870,[R102,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-05-24,Göttingen,,,"Versuchsreihen gestört; s. Zwischenbrf v FR  v 29. 05. 22, [F59,3, GSI,2 Nr. 761",,
871,[R103,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-07-09,Kassel,,,"von Tierversuchen m Kaninchen (vgl. [F59,1=GS I,2 Nr. 746);zur Koop m Dr. Koch",,
872,[R104,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-07-13,Göttingen,,,zur Kooperation wg Therapie mit Dr. Koch und Strauß,,
873,[R105,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-07-17,Göttingen,,,"Antwort auf [F59,5=GS I,2 Nr.788; FR macht Rückzieher, Rudi bittet um Fortsetzg",,
874,[R106,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-08-06,Göttingen,,,Skepsis Dr. Koch wg Rudis Therapie; Franz soll jetzt entscheiden,,
875,[R107,O+K,B,"Ehrenberg, Rudolf","Rosenzweig, Franz",1922-09-11,Göttingen,,,zu  Rafaels Geburt; Rudi verbindet die Initiale R mit sich als Freund; zur Therapie,,
876,[R108,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1922-09-13,Frankfurt,,,Dat hdf.; von Krkht gezeichnete Schrift; verneint jede Assoziaton Rafael-Rudi.,,
877,[R109,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-09-14,Göttingen,,,"zur Therap.;Leben irreversibel aber nie nur vergangen;Serum  ""Franzolin"" nennen?",,
878,[R110,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-09-19,Göttingen,,,weiter zur Therapie; zum Umgang mit Vergangenem,,
879,[R111,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1922-09-22,Frankfurt Main,,,Anwort auf [R110; eingangs zur Therapie; weiter zum Umgang mit Vergangenem,,
880,[R112,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-09-23,Göttingen,,,zur Therapie; alte Schlüsseldaten der Freunde,,
881,[R113,O+K,B,"Rosenzweig, Franz","Ehrenberg,  Rudolf",1922-09-28,Frankfurt Main,,,"um die Wahrheit; zum Gedicht ""Schatten""; zur Therapie",,
882,[R114,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-09-29,Göttingen,,,"über das Leben in/unter der Hoffnung;zum ""Karfreitagsgedicht"" f Helene n Totgeb.",,
883,[R115,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1922-10-06,Frankfurt Main,,,"Dat hdf; zur Therapie ""gespritzt wird täglich""; zur Hoffnung; Erinnerungen",,
884,[R116,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-10-07,Göttingen,,,zur Ehrlichkeit sich selbst gegenüber,,
885,[R117,O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1922-10-12,Frankfurt Main,,,zu Ehe und Treue,,
886,[R118,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-10-12,Göttingen,,,Helenes Rolle und Bedeutung für Rudi im Freundeskreis,,
887,[R119,O+K+Couv,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1922-10-16,Frankfurt,,,"Dat, Ort, Empfg: Couvert; Einverständnis mit [R118;",,
[R120,O+K,B,"Ehrenberg, Helene","Rosenzweig,  Franz",1922-10-18,Göttingen,,,Antwort auf erwarteten Brief ([R 119),,,
,889,[R121,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-10-18,Göttingen,,,zur Korrespondenz FR-Rudi-Helene untereinander,
,890,[R122,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-10-26,G.öttingen,,,zu den Inhalten div. Briefe untereinander und Warten auf Antwort;,
,891,[R123,O+K,PK,"Ehrenberg, Helene","Rosenzweig, Franz",1922-10-26,Göttingen,,,Eine Op. bei Rudi ist gut verlaufen. Gruß an Edith und Rosenstocks (in FfM),
,892,[R124,O+K,B,"Ehrenberg, Helene","Rosenzweig,  Franz",1922-11-06,Göttingen,,,Re. auf Re zu [R120; zu Ihrem Verständnis des Freundeskreises,
,893,[R125,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-11-16,G.öttingen,,,zu Helenes Verstehen der Freundschaften,
,894,[R126,Oms+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-02-26,Göttingen,,,"hat sein Buch ""Biologie des Todes""  abgeschickt; Paraphrasen seiner Thesen.",
,895,[R127,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-03-11,Göttingen,,,Sorge um die Annahme des Buches durch den Verleger; Erschöpfg nach Abgabe,
,896,[R128,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-04-01,Göttingen,,,Buch angenommen; zum Verhältnis von Biologie zu Theologie,
,897,[R129,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-04-12,Göttingen,,,""" 'Die Bahn' des 'Stern' muss doch auch von meiner 'Biologie' aus zu sehen sein.""",
,898,[R130,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-05-09,Göttingen,,,"zu ""Gehirn u. Bewusstsein""; rühmt FRs Übersetzungen als Dichtungen",
,899,[R131,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-05-16,Göttingen,,,"Dat: Tg undtl; zu s. Buch: es ist Kommentar zu den ""Predigten""; Typen im ""Stern"";",
,900,[R132,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-05-26,Göttingen,,,zum Vorwort zu Buch; Mitarbeit des Vaters; zu einem Rel.Gespräch mit Barth,
,901,[R133,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-05-29,G.öttingen,,,schickt Einleitung zum Buch und Druckfahnen;,
,902,[R134,O+K,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-08-21,Kassel,,,zu den Antinomien im Stern; Antwort von Franz in [R136; dazw. Besuch R. bei FR,
,903,[R135,O+K,B,"Ehrenberg, Rudolf","Rosenzweig, Franz",1923-10-04,Göttingen,,,Antwort auf [R136,
,904,[R136,ms P+K,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1923-08-00,Frankfurt Main,,,zu Rezensionen der Werke v beiden; zum Stern.s. [R134;,
,905,[T001,K+K,B,"Ehrenberg,  Rudolf","Rosenstock-H.,  Eugen",1918-10-20,,,,"Kontaktaufnahme der Freunde nach dem 1.W.Krieg; Eugen noch ""Sie"" genannt.",
,906,[T002,K+K,B,"Ehrenberg,  Rudolf",Rosenstock-H . Margrit,1918-10-27,,,,"Kontaktaufnahme der Freunde nach dem 1.W.Krieg; Gritli  noch ""Sie"" genannt.",
